,stations,lats,lons,start,end,datapoints,continuous datapoints
412,1196340_Q_Day.Cmd.txt,-22.76851351,30.88925779,1987-11,2020-01,11228,5266
277,1160370_Q_Day.Cmd.txt,-34.030833,21.586389,1965-04,2020-01,19017,4221
383,1160960_Q_Day.Cmd.txt,-34.0925,21.294167,1969-04,2020-01,18013,5595
334,1196105_Q_Day.Cmd.txt,-24.95861111,29.39527778,2007-03,2020-01,4108,1230
422,1196415_Q_Day.Cmd.txt,-25.809167,27.475833,1973-07,2020-01,15695,2036
423,1196420_Q_Day.Cmd.txt,-25.72,27.185556,1971-05,2020-01,16690,8849
424,1196423_Q_Day.Cmd.txt,-25.73486,27.21425,1970-12,2020-01,15931,4355
425,1196425_Q_Day.Cmd.txt,-25.637222,27.026944,1963-09,2020-01,19774,2684
540,1257101_Q_Day.Cmd.txt,-18.03333333,21.41666667,1949-10,2020-01,25678,25678
501,1199410_Q_Day.Cmd.txt,-26.483333,30.633889,1951-06,2020-01,24213,3423
456,1196720_Q_Day.Cmd.txt,-24.03642,31.12821,1988-10,2020-01,9874,1879
372,1160900_Q_Day.Cmd.txt,-27.8975,30.883611,1971-09,2020-01,17354,7637
487,1197701_Q_Day.Cmd.txt,-25.088889,30.777778,1948-03,2020-01,25821,4244
222,1160420_Q_Day.Cmd.txt,-33.970833,22.547222,1961-03,2020-01,20072,3759
196,1160351_Q_Day.Cmd.txt,-33.945278,22.614167,1969-04,2020-01,18452,5409
223,1160425_Q_Day.Cmd.txt,-33.9125,22.707778,1961-05,2020-01,21011,4884
224,1160427_Q_Day.Cmd.txt,-33.880556,22.837778,1962-12,2020-01,20507,3589
493,1197750_Q_Day.Cmd.txt,-25.14952778,31.94066667,1987-03,2020-01,10945,2038
491,1197740_Q_Day.Cmd.txt,-24.753333,31.388333,1967-09,2020-01,16350,2890
697,1291200_Q_Day.Cmd.txt,-17.68333333,23.26666667,1969-02,2020-01,15714,8725
490,1197730_Q_Day.Cmd.txt,-24.993056,30.814167,1948-03,2020-01,26167,5706
489,1197710_Q_Day.Cmd.txt,-25.076111,31.130278,1948-02,2020-01,25609,5069
204,1160373_Q_Day.Cmd.txt,-33.98027778,21.65333333,1964-05,2020-01,14668,2491
435,1196441_Q_Day.Cmd.txt,-25.66361,28.35131,1962-05,2019-12,20942,5650
609,1259450_Q_Day.Cmd.txt,-23.11666667,18.68333333,1973-11,2019-12,14567,4159
107,1159547_Q_Day.Cmd.txt,-26.8805,26.96428,1986-09,2019-12,10869,2259
202,1160367_Q_Day.Cmd.txt,-33.489444,21.489444,1955-02,2019-12,21314,8846
455,1196710_Q_Day.Cmd.txt,-24.51752,30.83174,1958-08,2019-12,22183,4703
572,1159900_Q_Day.Cmd.txt,-27.169444,29.233056,1906-10,2019-12,39339,5615
447,1196562_Q_Day.Cmd.txt,-24.771389,28.348056,1973-07,2019-11,16700,4364
336,1196110_Q_Day.Cmd.txt,-25.818889,29.3375,1956-10,2019-11,21855,4400
338,1160765_Q_Day.Cmd.txt,-31.071667,28.353333,1964-08,2019-11,19841,5619
333,1196104_Q_Day.Cmd.txt,-25.57877778,29.12747222,2005-03,2019-11,5344,1141
